n,time
1000000,0.020000
2000000,0.040000
4000000,0.080000
6000000,0.130000
8000000,0.160000
10000000,0.210000
20000000,0.420000
40000000,0.840000
60000000,1.270000
80000000,1.670000
100000000,2.100000
200000000,4.190000
400000000,8.390000
600000000,12.590000
800000000,16.900000
