n,naive,blocking,recursive,BLAS,
16,0.000000,0.000000,0.000000,0.010000,
32,0.000000,0.000000,0.000000,0.000000,
64,0.000000,0.000000,0.000000,0.000000,
128,0.010000,0.020000,0.010000,0.000000,
256,0.110000,0.110000,0.120000,0.000000,
512,1.010000,0.990000,1.050000,0.010000,
1024,9.100000,7.940000,8.350000,0.100000,
